Frecuencia (Hz)	Nivel (dB)
11498,730469	-44,121300
11541,796875	-44,332214
11584,863281	-44,343391
11627,929688	-44,499634
11670,996094	-44,429161
11714,062500	-44,128181
11757,128906	-43,876381
11800,195312	-43,748257
11843,261719	-44,008186
11886,328125	-43,997978
11929,394531	-44,141029
11972,460938	-44,499863
12015,527344	-44,438030
12058,593750	-44,218189
12101,660156	-44,286598
12144,726562	-44,198360
12187,792969	-44,251396
12230,859375	-44,404327
12273,925781	-44,552891
12316,992188	-44,525791
12360,058594	-44,311462
12403,125000	-44,331665
12446,191406	-44,244789
12489,257812	-44,097256
12532,324219	-44,153275
12575,390625	-44,468807
12618,457031	-44,434406
12661,523438	-44,266438
12704,589844	-44,470963
12747,656250	-44,524227
12790,722656	-44,311089
12833,789062	-44,251556
12876,855469	-43,951183
12919,921875	-44,153893
12962,988281	-44,325958
13006,054688	-44,213398
13049,121094	-44,289829
13092,187500	-44,535961
13135,253906	-44,627254
13178,320312	-44,224930
13221,386719	-44,340305
13264,453125	-44,459961
13307,519531	-44,537186
13350,585938	-44,551643
13393,652344	-44,597122
13436,718750	-44,500195
13479,785156	-44,406540
13522,851562	-44,490875
13565,917969	-44,588402
13608,984375	-44,591118
13652,050781	-44,371922
13695,117188	-44,465904
13738,183594	-44,615292
13781,250000	-44,537064
13824,316406	-44,683090
13867,382812	-44,637646
13910,449219	-44,472633
13953,515625	-44,668804
13996,582031	-44,768791
14039,648438	-44,801991
14082,714844	-44,631187
14125,781250	-44,569485
14168,847656	-44,691101
14211,914062	-44,776226
14254,980469	-44,897022
14298,046875	-45,122791
14341,113281	-44,738499
14384,179688	-44,516998
14427,246094	-44,687519
14470,312500	-44,889427
14513,378906	-45,154434
14556,445312	-44,941780
14599,511719	-44,729225
14642,578125	-44,619411
14685,644531	-44,662563
14728,710938	-44,694546
14771,777344	-44,887218
14814,843750	-44,939648
14857,910156	-44,855545
14900,976562	-44,698536
14944,042969	-44,665901
14987,109375	-44,643417
15030,175781	-44,622963
15073,242188	-44,687237
15116,308594	-44,652309
15159,375000	-44,810143
15202,441406	-44,885441
15245,507812	-44,608658
15288,574219	-44,759060
15331,640625	-44,983833
15374,707031	-44,779297
15417,773438	-44,705105
15460,839844	-44,877174
15503,906250	-44,884094
15546,972656	-44,845112
15590,039062	-44,817921
15633,105469	-44,922443
15676,171875	-44,875301
15719,238281	-44,780540
15762,304688	-44,761765
15805,371094	-44,676743
15848,437500	-44,861240
15891,503906	-44,766399
15934,570312	-44,880135
15977,636719	-44,845940
16020,703125	-45,055103
16063,769531	-45,132080
16106,835938	-44,935074
16149,902344	-44,879204
16192,968750	-44,615376
16236,035156	-44,472176
16279,101562	-44,607914
16322,167969	-45,039898
16365,234375	-45,134987
16408,300781	-45,246300
16451,367188	-45,091366
16494,433594	-45,069881
16537,500000	-44,880268
16580,566406	-44,814781
16623,632812	-44,969017
16666,699219	-45,019524
16709,765625	-45,142815
16752,832031	-44,970505
16795,898438	-45,070839
16838,964844	-44,819557
16882,031250	-44,902748
16925,097656	-44,921246
16968,164062	-45,115829
17011,230469	-44,919571
17054,296875	-44,835773
17097,363281	-44,894901
17140,429688	-45,003769
17183,496094	-45,125515
17226,562500	-44,906200
17269,628906	-44,920998
17312,695312	-45,040974
17355,761719	-45,065582
17398,828125	-45,153610
17441,894531	-44,994522
17484,960938	-45,181168
17528,027344	-45,232643
17571,093750	-45,178360
17614,160156	-44,973194
17657,226562	-45,063953
17700,292969	-45,033161
17743,359375	-45,032036
17786,425781	-45,153061
17829,492188	-45,043423
17872,558594	-45,023399
17915,625000	-45,051846
17958,691406	-45,013485
18001,757812	-45,086544
18044,824219	-45,344681
18087,890625	-45,211422
18130,957031	-45,106777
18174,023438	-45,007603
18217,089844	-44,958328
18260,156250	-45,225628
18303,222656	-45,090397
18346,289062	-45,173084
18389,355469	-45,019276
18432,421875	-45,049389
18475,488281	-45,155663
18518,554688	-45,300800
18561,621094	-44,932678
18604,687500	-44,857533
18647,753906	-44,950493
18690,820312	-44,778648
18733,886719	-44,849888
18776,953125	-45,100479
18820,019531	-45,235275
18863,085938	-45,179356
18906,152344	-45,049374
18949,218750	-44,971207
18992,285156	-45,059013
19035,351562	-45,165268
19078,417969	-44,909374
19121,484375	-44,743557
19164,550781	-44,766499
19207,617188	-45,052155
19250,683594	-45,161537
19293,750000	-45,266277
19336,816406	-45,334393
19379,882812	-45,266754
19422,949219	-45,362831
19466,015625	-44,952946
19509,082031	-44,876236
19552,148438	-45,179825
19595,214844	-45,432178
19638,281250	-45,562847
19681,347656	-45,313992
19724,414062	-45,243565
19767,480469	-45,255943
19810,546875	-45,212517
19853,613281	-45,303776
19896,679688	-45,381390
19939,746094	-45,258110
19982,812500	-45,063614
20025,878906	-45,489925
20068,945312	-45,405453
20112,011719	-45,194977
20155,078125	-45,124916
20198,144531	-45,067379
20241,210938	-45,006641
20284,277344	-44,972301
20327,343750	-44,900730
20370,410156	-44,893307
20413,476562	-45,164104
20456,542969	-45,201027
20499,609375	-45,274006
20542,675781	-45,246887
20585,742188	-45,234001
20628,808594	-45,169888
20671,875000	-45,055534
20714,941406	-44,971268
20758,007812	-45,187092
20801,074219	-45,418789
20844,140625	-45,250668
20887,207031	-45,164619
20930,273438	-45,034668
20973,339844	-44,986343
21016,406250	-45,277081
21059,472656	-45,378777
21102,539062	-45,135906
21145,605469	-45,197857
21188,671875	-45,361309
21231,738281	-45,097431
21274,804688	-45,260082
21317,871094	-45,296505
21360,937500	-45,410259
21404,003906	-45,016636
21447,070312	-45,013790
21490,136719	-45,141346
21533,203125	-44,840672
21576,269531	-44,928169
21619,335938	-45,004742
21662,402344	-45,336506
21705,468750	-45,279606
21748,535156	-45,105190
21791,601562	-45,183235
21834,667969	-45,316414
21877,734375	-45,328953
21920,800781	-45,121559
21963,867188	-45,042233
22006,933594	-45,154068
